name,comics_available,series_available,stories_available,events_available,description,comics_items,series_items,stories_items,events_items
3-D Man,12,3,21,1,,"['Avengers: The Initiative (2007) #14', 'Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT)', 'Avengers: The Initiative (2007) #15', 'Avengers: The Initiative (2007) #16', 'Avengers: The Initiative (2007) #17', 'Avengers: The Initiative (2007) #18', 'Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT)', 'Avengers: The Initiative (2007) #19', 'Deadpool (1997) #44', 'Marvel Premiere (1972) #35', 'Marvel Premiere (1972) #36', 'Marvel Premiere (1972) #37']","['Avengers: The Initiative (2007 - 2010)', 'Deadpool (1997 - 2002)', 'Marvel Premiere (1972 - 1981)']","['Cover #19947', 'The 3-D Man!', 'Cover #19949', ""The Devil's Music!"", 'Cover #19951', 'Code-Name:  The Cold Warrior!', 'AVENGERS: THE INITIATIVE (2007) #14', 'Avengers: The Initiative (2007) #14 - Int', 'AVENGERS: THE INITIATIVE (2007) #15', 'Avengers: The Initiative (2007) #15 - Int', 'AVENGERS: THE INITIATIVE (2007) #16', 'Avengers: The Initiative (2007) #16 - Int', 'AVENGERS: THE INITIATIVE (2007) #17', 'Avengers: The Initiative (2007) #17 - Int', 'AVENGERS: THE INITIATIVE (2007) #18', 'Avengers: The Initiative (2007) #18 - Int', 'Avengers: The Initiative (2007) #18, Zombie Variant - Int', 'AVENGERS: THE INITIATIVE (2007) #19', 'Avengers: The Initiative (2007) #19 - Int', 'Avengers: The Initiative (2007) #14, Spotlight Variant - Int']",['Secret Invasion']
A-Bomb (HAS),4,2,7,0,"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ","['FREE COMIC BOOK DAY 2013 1 (2013) #1', 'Hulk (2008) #53', 'Hulk (2008) #54', 'Hulk (2008) #55']","['FREE COMIC BOOK DAY 2013 1 (2013)', 'Hulk (2008 - 2012)']","['Hulk (2008) #55', 'Interior #92079', 'Hulk (2008) #54', 'Interior #92083', 'Hulk (2008) #53', 'Interior #92087', 'cover from Free Comic Book Day 2013 (Avengers/Hulk) (2013) #1']",[]
A.I.M.,53,36,57,0,AIM is a terrorist organization bent on destroying the world.,"['Ant-Man & the Wasp (2010) #3', 'Avengers (1998) #67', 'Avengers (1963) #87', 'Avengers and Power Pack Assemble! (2006) #2', 'Avengers and Power Pack (2017) #3', 'Avengers and Power Pack (2017) #4', 'Avengers and Power Pack (2017) #5', 'Avengers and Power Pack (2017) #6', 'AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION VOL. 2 TPB (Trade Paperback)', 'Avengers Unlimited Infinity Comic (2022) #17', 'Avengers Vol. 2: Red Zone (Trade Paperback)', 'Avengers Vol. II: Red Zone (Trade Paperback)', 'Captain America (1998) #28', 'Captain America (1968) #132', 'Captain America (1968) #133', 'Captain America by Mark Waid, Ron Garney & Andy Kubert (Hardcover)', 'Defenders (1972) #57', 'Incredible Hulks (2010) #606 (VARIANT)', 'Indestructible Hulk (2012) #3', 'Iron Man (2012) #1']","['Ant-Man & the Wasp (2010 - 2011)', 'Avengers (1998 - 2004)', 'Avengers (1963 - 1996)', 'Avengers and Power Pack (2017)', 'Avengers and Power Pack Assemble! (2006)', 'AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION VOL. 2 TPB (2017)', 'Avengers Unlimited Infinity Comic (2022 - 2023)', 'Avengers Vol. 2: Red Zone (2003)', 'Avengers Vol. II: Red Zone (2003)', 'Captain America (1998 - 2002)', 'Captain America (1968 - 1996)', 'Captain America by Mark Waid, Ron Garney & Andy Kubert (2017)', 'Defenders (1972 - 1986)', 'Incredible Hulks (2010 - 2011)', 'Indestructible Hulk (2012 - 2014)', 'Iron Man (1968 - 1996)', 'Iron Man (2012 - 2014)', 'Iron Man Epic Collection: Doom (2018)', 'Marvel Adventures Super Heroes (2010 - 2012)', 'Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (2003)']","['Avengers and Power Pack Assemble! (2006) #2', '2 of 4 - 4XLS', 'When the Unliving Strike', 'Cover #10255', 'The Enemy Within!', 'Death Before Dishonor!', 'Cover #10261', 'The End of A.I.M.!', 'The Red Skull Lives!', 'He Who Holds the Cosmic Cube', 'The Maddening Mystery of the Inconceivable Adaptoid!', 'If This Be... Modok', 'A Time to Die -- A Time to Live!', 'At the Mercy of the Maggia', 'Look Homeward, Avenger', 'Captain America (1968) #132', 'The Fearful Secret of Bucky Barnes', 'Captain America (1968) #133', 'Madness In the Slums', 'In Sin Airy X']",[]
Aaron Stack,14,3,27,0,,"['Dark Avengers (2012) #177', 'Dark Avengers (2012) #179', 'Dark Avengers (2012) #180', 'Dark Avengers (2012) #181', 'Dark Avengers (2012) #182', 'Dark Avengers (2012) #183', 'Hulk (2008) #43', 'Universe X (2000) #6', 'Universe X (2000) #7', 'Universe X (2000) #8', 'Universe X (2000) #9', 'Universe X (2000) #10', 'Universe X (2000) #11', 'Universe X (2000) #12']","['Dark Avengers (2012 - 2013)', 'Hulk (2008 - 2012)', 'Universe X (2000 - 2001)']","['Universe X (2000) #10', 'Interior #25635', 'Universe X (2000) #12', 'Interior #25638', 'Universe X (2000) #6', 'Interior #25648', 'Universe X (2000) #7', 'Interior #25650', 'Universe X (2000) #8', 'Interior #25652', 'Universe X (2000) #9', 'Interior #25654', 'Universe X (2000) #11', 'Hulk (2008) #43', 'Interior #90002', 'Dark Avengers (2012) #179', 'Interior #92371', 'Dark Avengers (2012) #180', 'Interior #92373', 'Dark Avengers (2012) #177']",[]
Abomination (Emil Blonsky),58,28,68,1,"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.","['Abominations (1996) #1', 'Abominations (1996) #2', 'Abominations (1996) #3', 'Avengers (1998) #61', 'Avengers (1998) #62', 'Avengers Vol. 1: World Trust (Trade Paperback)', 'Earth X (1999) #7', 'EARTH X TPB [NEW PRINTING] (Trade Paperback)', 'Hulk (2008) #3', 'Hulk: Destruction (2005) #4', 'Hulk (1999) #24', 'Hulk (1999) #25', 'Hulk (1999) #28', 'Hulk (1999) #50', 'Hulk (1999) #51', 'Hulk (1999) #53', 'Hulk (1999) #54', 'Incredible Hulk (1962) #137', 'Incredible Hulk (1962) #171', 'Incredible Hulk (1962) #194']","['Abominations (1996 - Present)', 'Avengers (1998 - 2004)', 'Avengers Vol. 1: World Trust (2003)', 'Earth X (1999 - 2000)', 'EARTH X TPB [NEW PRINTING] (2006)', 'Hulk (2008 - 2012)', 'Hulk (1999 - 2008)', 'Hulk: Destruction (2005)', 'Incredible Hulk (1962 - 1999)', 'Incredible Hulk Annual (1976 - 1994)', 'Incredible Hulk Epic Collection: The Hulk Must Die (2017)', 'Incredible Hulk Vol. 4: Abominable (2003)', 'Incredible Hulk Vol. IV: Abominable (2003)', 'Incredible Hulks (2010 - 2011)', 'Iron Man (1998 - 2004)', 'Irredeemable Ant-Man (2006 - 2007)', 'IRREDEEMABLE ANT-MAN VOL. 1: LOW-LIFE DIGEST (2007)', 'Killraven (2002 - 2003)', 'KILLRAVEN PREMIERE HC (2007)', 'Maestro: World War M (2022)']","['4 of 4 - 4XLS', 'Irredeemable Ant-Man (2006) #1', 'Cover #12370', 'Whosoever Harms the Hulk..!', '[none]', 'The Stars Mine Enemy', 'Incredible Hulk (1962) #171', 'Revenge', 'Incredible Hulk (1962) #194', 'The Day of the Locust!', 'Incredible Hulk (1962) #195', 'Warfare In Wonderland!', 'Incredible Hulk (1962) #196', 'The Abomination Proclamation!', 'Incredible Hulk (1962) #200', 'An Intruder In the Mind!', 'Cover #18776', 'Incredible Hulk (1962) #364', 'Countdown Part 4: The Abomination', 'Incredible Hulk (1962) #366']",['Chaos War']
Abomination (Ultimate),2,2,3,0,,"['Hulk (2008) #50', 'Ultimate X-Men (2001) #26']","['Hulk (2008 - 2012)', 'Ultimate X-Men (2001 - 2009)']","['Free Preview of THE INCREDIBLE HULK #50', 'Hulk (2008) #50', 'Interior #92099']",[]
Absorbing Man,99,50,111,5,,"['A+X (2012) #8', 'Avengers (1963) #183', 'Avengers (1963) #184', 'Avengers (1963) #270', 'Avengers Academy (2010) #16', 'Avengers Academy (2010) #17', 'Avengers Academy (2010) #18', 'Avengers Academy (2010) #19', 'Avengers Annual (1967) #20', 'Black Bolt (2017) #3', 'Black Bolt (2017) #4', 'Black Bolt (2017) #11', 'Black Bolt Vol. 1: Hard Time (Trade Paperback)', 'Captain America (1998) #24', 'Dazzler (1981) #18', 'Dazzler (1981) #19', 'Deadpool (1997) #43', 'Fantastic Four (1998) #22', 'Fantastic Four (1961) #330', 'Fear Itself (2010) #2 (3rd Printing Variant)']","['A+X (2012 - 2014)', 'Avengers (1963 - 1996)', 'Avengers Academy (2010 - 2012)', 'Avengers Annual (1967 - 1994)', 'Black Bolt (2017 - 2018)', 'Black Bolt Vol. 1: Hard Time (2017)', 'Captain America (1998 - 2002)', 'Dazzler (1981 - 1986)', 'Deadpool (1997 - 2002)', 'Fantastic Four (1961 - 1998)', 'Fantastic Four (1998 - 2012)', 'Fear Itself (2010 - 2011)', 'Fear Itself: Fellowship of Fear (2011)', 'Fear Itself: The Worthy (2011)', 'Gamma Flight (2021)', 'Heroes for Hire (1997 - 1999)', 'Hulk (1999 - 2008)', 'Illuminati (2015 - 2016)', 'Immortal Hulk (2018 - 2021)', 'Immortal Hulk Vol. 2: The Green Door (2019)']","['1 of 1', 'Punisher War Journal (2006) #4', 'Journey Into Mystery (1952) #114', 'The Stronger I Am, the Sooner I Die', 'Journey Into Mystery (1952) #115', 'The Vengeance of the Thunder God', 'Journey Into Mystery (1952) #120', 'With My Hammer In Hand', 'Journey Into Mystery (1952) #121', 'The Power!  The Passion!  The Pride!', 'Journey Into Mystery (1952) #122', 'Where Mortals Fear To Tread!', 'Journey Into Mystery (1952) #123', 'While a Universe Trembles', 'Fantastic Four (1961) #330', 'Good Dreams!', 'Avengers (1963) #183', 'Avengers (1963) #184', 'Avengers (1963) #270', 'Thor (1966) #206']","['Acts of Vengeance!', 'Civil War', 'Fear Itself', 'Secret Wars', 'Siege']"
Abyss,8,3,8,1,,"['Uncanny X-Men (1963) #402', 'Uncanny X-Men (1963) #404', 'Uncanny X-Men (1963) #405', 'Uncanny X-Men (1963) #406', 'Uncanny X-Men (1963) #429', 'Uncanny X-Men (1963) #431', 'X-Men: Alpha (1995) #1', 'X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback)']","['Uncanny X-Men (1963 - 2011)', 'X-Men: Alpha (1995)', 'X-Men: The Complete Age of Apocalypse Epic Book 2 (2005)']","['A Beginning', 'Utility of Myth', 'Army Ants', 'Ballroom Blitzkrieg', 'Staring Contests are for Suckers', 'The Draco Part One: Sins of the Father', 'The Draco Part Three', 'The Draco Part Four']",['Age of Apocalypse']
Abyss (Age of Apocalypse),3,3,2,1,,"['Weapon X (1995) #1', 'X-Men: Alpha (1995) #1', 'X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback)']","['Weapon X (1995)', 'X-Men: Alpha (1995)', 'X-Men: The Complete Age of Apocalypse Epic Book 2 (2005)']","['X-Men: Alpha (1994) #1', 'X-Facts']",['Age of Apocalypse']
Adam Destine,0,0,0,0,,[],[],[],[]
